author,published_at,updated_at,like_count,text
GP Grandsprés,2023-10-01T11:21:23Z,2023-10-01T11:21:23Z,0,"La &quot;transition&quot; sera longue, TRES longue. Parions que la sécurité ne va pas s&#39;améliorer. Super alibi !"
Alyssa Compaore,2023-10-01T10:51:58Z,2023-10-01T10:51:58Z,0,"Si moi j&#39;étais un journaliste je ne  vais pas causer avec lui, AllAhumma Barik c&#39;est un intello il les bat partout 😂,les journalistes abandonné 😅"
Rosyfrica Rosyfrica,2023-10-01T10:43:48Z,2023-10-01T10:43:48Z,0,Il faut  aussi que les journalistes  posent des questions intelligentes <br>Répéter comme des perroquets  des phrases  venant de l impérialiste  lui même comme celle de ledruand qui dit que l Afrique  quitte un maître pour un autre maître  L Afrique n a qu un maitre   c est Le seul et unique Dieu.<br>Quant a la France elle est venue s imposer en Afrique  de façon criminelle et violente.<br>Si des africains  appellent leurs bourreaux maitres  alors ils ont le vrai syndrome de Stockholm.
Alyssa Compaore,2023-10-01T10:43:37Z,2023-10-01T10:43:37Z,0,"Capitaine IB tu ne vas pas descendre,tu es notre président point qui peut gouverné notre BF comme toi le peuple t&#39;aime,les journalistes parle pour parler ❤"
Aymar appalo,2023-10-01T10:41:12Z,2023-10-01T10:41:12Z,0,"Merci mr le président pour nous avoir honorer de vos dignes paroles. Toute l&#39;Afrique des libertés vous soutient. Soyez bénis. La patrie ou la mort , nous vaincrons.✊️✊️✊️✊️✊️❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤"
Somé Dioubar,2023-10-01T10:24:14Z,2023-10-01T10:24:14Z,0,J&#39;ai eu des regrets de ne pas avoir été là a l&#39;époque du feu président Thomas Sankara mais j&#39;ai quand même été inspiré par ces grands discours plein de sagesse.<br>Aujourd&#39;hui à mon époque je suis encore plus reconnaissant et fière d&#39;être Burkinabè et fière d&#39;avoir encore un dirigeant semblable à Thomas et aussi Sage et courageux que lui 🙏 force et respect à toi Ibrahim Traoré .<br>La patrie ou la mort Nous vainguerons ✊🏽
Ichrach Djibril,2023-10-01T09:13:04Z,2023-10-01T09:16:18Z,0,"Non au système de l&#39;impérialisme non à un monde très injuste,non à un monde complice des crimes atroce, comme comme Celui  de Kadhafi, comme celui de Thomas Sankara, Celui de baré mainassa et beaucoup d&#39;être injustement assassiné, c&#39;est seulement en afrique que ces criminels occidentaux et des pays du monde entier envoie des mercenaires pour des élemination des dirigeants très sages et près à mourir pour la patrie jamais  trahir la cause un"
#Shingy87,2023-10-01T09:06:21Z,2023-10-01T09:06:21Z,0,Pourquoi ce journaliste continue de parler de &quot;son pouvoir&quot;??? C&#39;est quoi cette formulation??
harmel zamble,2023-10-01T09:02:54Z,2023-10-01T09:02:54Z,0,Merci pour tous ces éclaircissements excellence Monsieur le Président ! <br>Je soutiens grandement vos idéologies étant  ivoirien ! Si éventuellement vous créer des applications pour les cotisations veillez laisser le lien pour qu’on puisse aussi apporter nos contributions au fond national de soutien ! Vive le président IBT ! Vive le peuple burkinabé ! Vive l’Afrique consciente !🇧🇫🇧🇫
Isobar Modus,2023-10-01T08:04:49Z,2023-10-01T08:04:49Z,0,"Vision, pertinence, panafricanisme, cet homme mérite la tête de l&#39;union africaine.<br>Vive l&#39;Afrique<br>Vive le Burkina ❤"
Carlos Clayton,2023-10-01T07:31:02Z,2023-10-01T07:31:02Z,0,"<a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=0m43s"">0:43</a>: 🎙️ The President of Burkina Faso discusses his first year in office and the focus on security.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=6m35s"">6:35</a>: 📺 The speaker discusses the reconquest of a rural area and the installation of a military base, which some people contest.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=11m58s"">11:58</a>: 🔍 The speaker expresses concern over the lack of equipment and logistical support in the armed forces, and calls for an audit to shed light on the situation.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=16m45s"">16:45</a>: 💼 The speaker discusses the reorganization of detachments and the autonomy of groupings in the military<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=22m21s"">22:21</a>: 💪 Burkinabe youth are actively defending their land, and the army has recruited and trained 11,000 soldiers this year.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=27m43s"">27:43</a>: 💰 The President of Burkina Faso confirms receiving material support from Côte d&#39;Ivoire, including financial contributions.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=33m15s"">33:15</a>: 🔫 The speaker expresses frustration at not being able to obtain lethal weapons for self-defense and criticizes the president for refusing to sell them.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=38m53s"">38:53</a>: ✅ Ensuring security is the top priority in Burkina Faso, allowing citizens to live peacefully and choose their president.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=44m19s"">44:19</a>: 📢 The speaker discusses the role of media in war and suggests that journalists receive training in war communication.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=49m48s"">49:48</a>: 🇧🇫 Burkinabe citizens have shown great patriotism and support for their country during times of crisis.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=55m34s"">55:34</a>: ✅ The speaker discusses how businesses are being relieved of certain taxes during the current situation, but some companies are requesting complete exemption from taxes.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=1h01m12s"">1:01:12</a>: 📊 The speaker discusses the measures taken to facilitate entrepreneurship and access to the market for young people, including delegating tax matters and seeking proposals from banks for affordable loans.<br><a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=1h06m28s"">1:06:28</a>: 🗣️ President of FO discusses the future and mission of the organization.<br>Recap by Tammy AI"
Mawoule Richard Kpassili,2023-10-01T06:15:31Z,2023-10-01T06:15:31Z,0,"président Ibrahim Traoré, très philosophe"
Mawoule Richard Kpassili,2023-10-01T06:12:06Z,2023-10-01T06:12:06Z,0,"pour plus de sécurité, il faut mettre en place des usines de fabrication des armes si c&#39;est possible"
Mawoule Richard Kpassili,2023-10-01T06:08:39Z,2023-10-01T06:08:39Z,0,"si on avait des chefs d&#39;état comme Ibrahim Traoré ,l&#39;Afrique serait le meilleur continent de bonheur"
Jean Clement KPODA,2023-10-01T04:50:30Z,2023-10-01T04:50:30Z,0,QUE DIEU BENISSE LE BURKINA ET PRESIDENT IB
Franck Yeo,2023-10-01T03:41:55Z,2023-10-01T03:41:55Z,0,"President moi je t&#39;aime bien. Cependant La russe a colonise beaucoup d&#39;autre nation, LA kazakstan, La mongolie, Ukbekistan, l&#39;armenie, lithuanie, lettonie, estonie, ennexe le nord la chine et japon et j&#39;en passe, La Russie bel et bien colonise des nation et elle continue meme a coloniser."
yacou coulibaly,2023-10-01T03:34:52Z,2023-10-01T03:34:52Z,0,"Ibrahim Traoré est un imposteur.<br>Qu&#39; il nous dise comment il est arrivé au pouvoir. . Qu&#39; il sache que c&#39;est de cette façon qu&#39; il partira du pouvoir. Qu&#39; il arrête  donc de se jouer le génie qui peut résoudre tous les problèmes du Burkina Faso. A l&#39; entendre, je sais qu&#39;il qu&#39; il lit beaucoup de bouquins mais cela ne suffit pas à faire de lui un sachant et un bâtisseur.<br>Ses ressortissants meurent ou fuient le pays, pour ceux qui ont delà chance et il viennent s&#39;installer chez ses voisins , que . lui Ibrahim Traoré prétend combattre au cas où le Niger serait attaquer par la CEDEAO. Sait - il combien la Côte d&#39;Ivoire ou le Ghana dépensent pour entretenir ces réfugiés Burkinabè ? N&#39;est pas de la pure ingratitude ? Pendant que vous vous joués les seigneurs à Ouagadougou et à Niamey, les populations prises en otage, souffrent et meurent.. Vous envoyé des novices de l&#39; artt dés combats antiterroristes mourir dans des conditions lamentables et cela ne vous écoeure nullement.<br>Pendant que ta case est en flamme, comment peux-tu prétendre venir en aide à ton voisin dont la sienne n&#39; a pas encore été léchée par une seule Lame de flamme ? N&#39;est ce pas de la sotise ? N&#39;est ce pas la folie des grandeurs ?<br>Monsieur, les vrais patriotes se rendent au front. Ils n&#39; envoient pas enfants des gens mourir cadeau et demander à d&#39;autres de venir se faire enrôler. J&#39; appelle cela de la boucherie. Dans l&#39; art de la guerre, un ou trois mois sont très insuffisants pour préparer un combattant aguerris. Arrêtez de faire massacrer ces jeunes frères qui constituent l&#39; avenir du Burkina Faso, et qui n&#39; aspirent qu&#39; à un mieux être.<br>Ce n&#39;est un plaisir pour aucun parent de voir son enfant disparaître dans des conditions lamentables. Arrêtez la manipulation dont vous êtes devenus un expert, pour induire la jeunesse Burkinabè en majorité analphabète et mal éclairée, en eurreur Fatale.<br>Si vous n&#39;êtes pas en mesure de combattre et libérer le pays, envoyez des émissaires pour négocier la paix avec les djihadistes. Avant d&#39; être des djihadistes, ce sont nos frères, quoiqu&#39;on dise. Ce ne sont pas des extraterrestres. Ce sont des gens qui pour la plupart ont été frustrés d&#39; une façon ou d&#39;une autre et expriment ces frustration s  de la mauvaise manière.<br>S i on pouvait prendre chaque élé ment de ces djihadistes et l&#39; écouter de façon attentive, nous verions sans doute que  nombreux parmis eux ne font qu&#39; exprimer une colère mal contenu  contre la politique économique et sociale de nos dirigeants africains.<br>Je ne fais pas l&#39;apologie du djihadisme, mais il faut reconnaître que tant que les richesses de nos nations seront accaparées par une minorité pendant que la majorité peine à se nourrir, il sera très difficile que les troubles de ce genre cessent<br>Dans certains pays du Sahel, certaines régions sont carrément laisse pour compte sur le plan du développement social. Que voulez-vous dans ces conditions ?<br>Les frustrations que  subissent ces populations font partie des facteur s faisant de la jeunesse de ces régions des appâts faciles pour le djihad.<br>Que Dieu éclair nos esprits afin que nous Africains comprenions que le vrai développement de notre continent ne peut se faire sans que nous fassions preuve de vigilance et de sagesse..<br>&quot; C&#39;est pas partout on prend fusil pour faire palabres,  plutôt que de nous entre - tuer pourquoi ne pas envoyer des émissaires vers ces djihadistes pour de franches négociations. Nos frères et sœurs qui périssent chaque jour, ne nous reviendront plus jamais. Et nous ne faisons qu&#39; investir des milliards de dollars à acquérir des armes pour nous massacrer entre nous. Ne savez - vous pas que cette affaire de djihadistes est devenue un fond de commerce pour certains afin de nous assujettir et nous maintenir dans la pauvreté ?<br>&quot;DIVISER POUR Régner &quot;<br>Essayons de faire autrement que de nous massacrer entre nous."
Irma Mundungu,2023-10-01T03:31:16Z,2023-10-01T03:31:16Z,0,❤
konate lassina,2023-10-01T02:11:46Z,2023-10-01T02:11:46Z,0,Le meilleur président du monde... force a toi M. Le président. T&#39;es confié à Allah et tous les bon esprits. Que Dieu veille sur le Burkina ❤
Laye Dieng,2023-10-01T01:56:44Z,2023-10-01T01:56:44Z,0,❤❤❤❤
Laye Dieng,2023-10-01T01:56:34Z,2023-10-01T01:56:34Z,0,Merci beaucoup
Aubin Batiam,2023-10-01T01:45:50Z,2023-10-01T01:45:50Z,0,"Je te promets beaucoup des <a href=""https://www.youtube.com/watch?v=WA8p0opWn8s&amp;t=0m48s"">0:48</a> jeune entrepreneur qui souffre qui veulent rentrer si il le faut"
Diakaridia Traoré,2023-10-01T01:26:21Z,2023-10-01T01:26:21Z,0,Merci beaucoup mon capitaine soutien total à vous ❤❤❤
thiarégraphie Th,2023-10-01T00:02:39Z,2023-10-01T00:02:39Z,0,Je vous souhaite le meilleur mon capitaine depuis Sénégal 🇸🇳
Mouktar Kodo,2023-09-30T23:28:45Z,2023-09-30T23:28:45Z,0,Vous les journalistes là aussi essayez de mesurer vos mots à l’égard du président ok 🙄🙄
Mouktar Kodo,2023-09-30T23:28:20Z,2023-09-30T23:28:20Z,0,Vous les journalistes là aussi essayez de mesurer vos mots à l’égard du président ok 🙄🙄
Mouktar Kodo,2023-09-30T23:25:18Z,2023-09-30T23:25:18Z,0,Que le bon Dieu te Béni MR le président ❤
Rosyfrica Rosyfrica,2023-09-30T23:06:00Z,2023-09-30T23:06:00Z,0,Que le  tout puissant  vous bénisse et vous protège et vous guide capitaine Ibrahim  Traoré  que  vos ennemis soient vos marché pied.<br>Concernant  les Traités il faut être sans pitié  dans d autres pays on les appelaient  des collabos et leurs sorts etaient vite réglé. <br>Il n y a qu&#39; en Afrique que laisse le traités se reproduire et cela continue depuis l esclavage  a nos jours.<br>La Racine de  tous  les maux donnant lieu au traité de prospérer c est la maudite CFA.
IMMOBILIER Innovation RS,2023-09-30T23:02:12Z,2023-09-30T23:02:12Z,0,Je suis béninois. J&#39;ai cherché exprès cet interview. Je vis un rêve éveillé
Daouda Coulibaly,2023-09-30T22:48:02Z,2023-09-30T22:48:02Z,1,IB IB IB IB IB IB longue vie à tous ❤❤❤❤❤
Aida Nitiema,2023-09-30T22:45:37Z,2023-09-30T22:45:37Z,1,Fier de vous mon Président.🇧🇫 Que le Seigneur veille sur vous et continue de vous combler de sagesse 💯👌🏾
Adja Tapsoba,2023-09-30T22:35:55Z,2023-09-30T22:35:55Z,0,"😂😂 vraiment surtout les journalistes, comme ça ils vont allez voir la réalité et bien pouvoir parler 😅"
Adja Tapsoba,2023-09-30T22:33:27Z,2023-09-30T22:33:27Z,0,"Pourquoi vous kes journalistes etes impatients comme ça 😮 à prine il veut répondre,vs sautez ailleurs 😢 cest quoi même 😔🤔😅"
Adama Sonde,2023-09-30T22:29:52Z,2023-09-30T22:29:52Z,0,Président Ibrahim traoré nous t&#39;aimons que vous protège? protège la populations Burkinabé inchallah ont aura notre indépendance.
Adja Tapsoba,2023-09-30T22:29:50Z,2023-09-30T22:29:50Z,0,"Mon président soyez davantage bénis 🙏 <br>Fière d&#39;être Burkinabè, vive l&#39;Afrique ✊💚"
Aimé KOUYOKOU,2023-09-30T22:25:41Z,2023-09-30T22:25:41Z,0,"Un togolais 🇹🇬 qui se sent plus que jamais fier d&#39;être africain en voyant combien le charisme et oe leadership de SEM Ibrahim Traoré donne de l&#39;espoir quand à un avenir meilleur pour notre continent.<br><br>Que le Seigneur, à travers le peuple veille sur toi. Et si nécessaire le Burkina Faso peut solliciter la contribution de tous les africains (sans distinction de nationalité) pour financer sa reconstruction. <br><br>Leur du reveil a sonné et l&#39;Afrique doit se reconstruire par le biais des africains eux-mêmes. <br><br>Un pays qui merite son nom &quot;Burkina Faso= pays des hommes intègres&quot;. God Bless 🇧🇫🇧🇫🇧🇫"
Romeo Kengne,2023-09-30T22:18:36Z,2023-09-30T22:18:36Z,0,Moi je suis camerounais... on ne doit pas simplement aimer ceci.. il faut contribuer financierement a ce combat ... bv nous donner les liens et contact pour contribuer financierement svp
Modibo Traore,2023-09-30T22:17:30Z,2023-09-30T22:17:30Z,0,Je crois du moins notre président a l&#39;inverse il est Evelyn traoré nous voulons lui poser toutes les questions que vous Te défendre Téléphone aux armées téléphone de pays à Aix-en-Provence
Modibo Traore,2023-09-30T22:16:29Z,2023-09-30T22:16:29Z,0,Ouvrez le Ibrahim travail le président du burkina en Et musique des répondre à toutes vos et à mesure des réponses à tout votre question mais ce que vous devez comprendre c&#39;est pas tout la question que vous devez poser à la télé demain le monde entier devant le monde entier Les vingt et un mille deux cent
Modibo Traore,2023-09-30T22:15:19Z,2023-09-30T22:15:19Z,0,Vive Ibrahim draoui vive à Jimmy gaudin livre général d&#39;Yanni vivent Ismaël songho vivre à l&#39;endroit où vivre À la femme la malle la carte de pluie dans le couloir
Kabre Alizeta,2023-09-30T21:46:18Z,2023-09-30T21:46:18Z,0,Que dieu protège notre président  Ibrahim Traoré
Jean Bangre,2023-09-30T21:45:19Z,2023-09-30T21:45:19Z,0,Bon courage ❤❤
Claude Gozo,2023-09-30T21:39:15Z,2023-09-30T21:39:15Z,0,"Que Dieu vous bénisse, tout arme forgée contre vous sera sans effet"
abibata savadogo,2023-09-30T21:38:13Z,2023-09-30T21:38:13Z,0,Longue vie à cet homme.un don de dieu.
TOUBA DENDEYE QUINCAILLERIE,2023-09-30T21:34:18Z,2023-09-30T21:34:18Z,0,From Senegal 🇸🇳 je suis fière de toi
Malam 6C Surat Lougmane Hakym,2023-09-30T21:24:46Z,2023-09-30T21:24:46Z,0,"pas de mots mais longue vie à vous, force et courage aussi à vous depuis dori seno"
Compoare Michel,2023-09-30T21:23:38Z,2023-09-30T21:23:38Z,0,Merci Mr le Président que dieu bénisse le Burkina Faso Ismaël a bien comprit le président
Pape Mbaye,2023-09-30T21:15:15Z,2023-09-30T21:15:15Z,0,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Gwlandys yollande Mboul,2023-09-30T21:04:53Z,2023-09-30T21:04:53Z,0,Indira
Ousmane Barry,2023-09-30T20:58:00Z,2023-09-30T20:58:00Z,0,Vive capitaine Africa es avec vous monsieur le Président de la République burkinabè
N-zey Célé,2023-09-30T20:43:50Z,2023-09-30T20:43:50Z,2,"La liberté d&#39;expression est vraiment totale au Burkina, on peut même couper la parole à un président sans finir en prison. Que Dieu donne une très longue vie au Capitaine Ibrahim . Qu&#39;il continue à l&#39;assister. J&#39;ai beaucoup après sur l&#39;impact de la communication en temps de guerre."
Terese Teresza,2023-09-30T20:06:27Z,2023-09-30T20:06:27Z,1,C.est sa la jeunesse
Lionel H. Parhasard,2023-09-30T19:57:48Z,2023-09-30T19:57:48Z,0,"Gardez toujours le discours de vérité terre à terre et l&#39;humilité qui vous caractérisent, Monsieur le Président."
Junior Ty,2023-09-30T19:54:42Z,2023-09-30T19:54:42Z,0,Force au Burkinabe!! 🇨🇲🇨🇲💪💪💪🇧🇫🇧🇫🇧🇫🇧🇫
BOURAIMA SADATE,2023-09-30T19:41:02Z,2023-09-30T19:41:02Z,0,On vous aime monsieur le Président depuis le Togo 🇹🇬
Timéo Danaos,2023-09-30T19:27:16Z,2023-09-30T19:27:16Z,0,Longue vie au capitaine. Force et courage au peuple Burkinabé
Ba Py,2023-09-30T19:21:55Z,2023-09-30T19:21:55Z,0,"Les journalistes là sont conscients oui ou non de l&#39;insécurité, et de la priorité de protèger les populations? Vous avez la chance d&#39;avoir un président de transition qui communique hein"
Goudrich Consulting,2023-09-30T19:16:54Z,2023-09-30T19:16:54Z,0,AH PRESIDENT MERCI
loutcho,2023-09-30T19:02:52Z,2023-09-30T19:02:52Z,0,"Bravo mon Président.  C&#39;est tellement captivant de vous écouter, on apprend, nous sommes informé ( sauf celui qui fait semblant..) vous êtes clair, cohérent... nous vous soutenons..."
Souleymane Djibo,2023-09-30T19:01:02Z,2023-09-30T19:01:02Z,0,❤❤❤❤
Alain Rolland,2023-09-30T18:56:58Z,2023-09-30T18:56:58Z,0,"Le terrorisme n&#39;est pas un phénomène naturel spontané. Qui finance les terroristes, d&#39;où vient leur doctrine, qui élabore leur stratégie ? Tant que ces questions ne seront pas clairement posées, aucune chance de pouvoir mettre fin à cette calamité. Mais pour cela il faut avoir le courage d&#39;affronter des puissances financières et politiques redoutables."
Salif NOMBRE,2023-09-30T18:52:36Z,2023-09-30T18:52:36Z,0,Président serein💪🏽🔥🇧🇫❤
TICHERO ANNOU TOM,2023-09-30T18:43:15Z,2023-09-30T18:43:43Z,0,Que le tout puissant ALLAH vous protège cher président IBRAHIM TRAORE
Pascal  Nicolas,2023-09-30T18:19:21Z,2023-09-30T18:19:21Z,0,"Une chose est claire , l&#39; usage de la parole est authentique. <br>Chez nous elle est de bois, de la tromperie.  Elle est aussi de la division de l endormissement de l Hypnose. <br>Beaucoup de Français en ont marre de notre président Macronnien."
Investigation_A++,2023-09-30T18:15:49Z,2023-09-30T18:17:56Z,0,"Personne n&#39;en parle , mais qui arme les djihadistes, le Burkina, le Mali et le Niger n&#39;ont pas de port maritime donc ça transit par un pays ayant un port , on nous a toujours fait croire que c&#39;est des armes libyennes, mais les libyens eux même ont besoin d&#39;arme depuis plusieurs années, même les états souverains africain ont soit des difficultés à obtenir des armes ou soit sont sur embargo des nations Unies, on nous dira que ce sont des prises de guerre lors des embuscades, or il vient de nous dire que le Burkina n&#39;avait rien comme arme , de même à l&#39;époque au Mali.<br>Faire la guerre coute de l&#39;argent , les pickups , les motos  , le carburant, la nutrition, sans compter les Ak47 coute environ 1,3 millions fcfa, une balle coute environ 1500 fcfa voir plus , sachant que dans l&#39;euphorie un combattant peut tirer une rafale en l&#39;air qui représente  entre 5 et 10 balles ou voir vider son chargeur (de 30 ou 75 balles) faites vous même le calcul , et pour finir les douilles ont des numéros d&#39;identifications ( imposé par ONUDC chap 5, article 7) donc on peut savoir d&#39;ou viennent les munitions  et sanctionner le fabriquant ou même les acheteurs.<br>Conclusion : on se fout royalement de nous et les institutions internationales nous mentent chaque jour."
Hanihani Traore,2023-09-30T18:07:51Z,2023-09-30T18:07:51Z,0,"M. Ismaël Ouédraogo, respectez votre profession et surtout ayez du respect pour votre Président. Ne posez pas vos questiions à un individu, mais à une personne qui représebte une nation, votre nation, le Burkina Faso. <br>Vous avez passez voyre temps à l&#39;interrompre, quand même! Apprenez à écouter, c est ube qualité!"
Tomety folly serge,2023-09-30T18:07:48Z,2023-09-30T18:07:48Z,0,En 10 min il m&#39;a convaincu.
dominique brunel,2023-09-30T18:00:18Z,2023-09-30T18:00:18Z,0,Quel chef exceptionnel.<br>Je vous souhaite de réussir ce dur combat pour la liberté.<br>😉💥🇨🇵
Hanihani Traore,2023-09-30T17:47:53Z,2023-09-30T17:47:53Z,0,"Il faut envoyer le journaliste de Burkina Infos qui interrompte tout le temps le Président  la au front comme journaliste d&#39;investigation. Comme cela il fera toujours son travail et il verra Aussi UNE Autre manière de poser Les questions quand on est journaliste. Reapprenez à faire votre travail. Un journaliste d&#39;investigation fait des enquêtes, ils ne pose pas des questions pour espérer UNE concordance avec Les rumeurs. <br>Et respectez la prise de parole, NE coupez pas le Président, laissez le finir. C est UNE règle. <br>Merci aux autres journalistes sur la plattforme qui sont restés professionels."
Atandji Théodore,2023-09-30T17:39:56Z,2023-09-30T17:39:56Z,0,Un vrai homme Intègre
douglas abang,2023-09-30T17:38:58Z,2023-09-30T17:38:58Z,1,EEEEEEEEEEEENNNNNNNNNNNNNNNFIIIIIIINNNNNN ; LA REINCARNATION DE MON LEADER ( THOMAS SANKARA) HER IBRAHIM TRAORE TU AS LA BENEDICTION DE TOUS LES ANKCETRES VRA
Sam Ousmane Traore,2023-09-30T17:26:01Z,2023-09-30T17:26:01Z,0,"Debat tres desorganisé...c&#39;est la dame qui dirige les débats et devrait imposé le tempo...pourquoi ce journaliste pantin saute du coq a l,&#39;ane...tres decevant...seule la dame a le niveau"
Kmb Kmb,2023-09-30T17:23:37Z,2023-09-30T17:23:37Z,0,IB🇧🇫🇧🇫🇧🇫🇧🇫
Yacouba SANOU,2023-09-30T17:17:59Z,2023-09-30T17:17:59Z,0,Force au peuple. Vive le Faso
Ninanio Na,2023-09-30T17:10:15Z,2023-09-30T17:10:15Z,0,Il à reson le média son pouru
SANOGO TIENOU,2023-09-30T17:05:11Z,2023-09-30T17:05:11Z,0,Je suis d&#39;accord avec le pdt pour avoir requisitionné l&#39;agent de santé pour ses propos débordants.
Ing. KEMCHIE Gills Romuald,2023-09-30T16:55:37Z,2023-09-30T16:55:37Z,0,Très intéressant et très intelligent 🧠 ce président
Claudia Ndoudi,2023-09-30T16:46:14Z,2023-09-30T16:46:14Z,0,"Amis burkinabè prêté se présidents ,au Congo Brazzaville svp on a besoin d&#39;un jeune président mur et  patriote comme lui ,aidé lui  à finir sa mission ont vous aime"
Moise Nanga,2023-09-30T16:41:03Z,2023-09-30T16:41:03Z,1,"Dieu honore toute personne qui est sincère… votre honnêteté est agréable et c’est ce qui fera que Dieu vs protège msr le président, moi personnellement je suis fière de vs et je penserai à vs dans mes prière quoi que je ne suis pas burkinabé plutôt un congolais 🇨🇩 mais vs faite la fierté de l’Afrique entier 💐 LA PATRIE OU LA MORT NS VAINCRONS CAR DIEU EST DE NOTRE CÔTÉ ✊"
Fousseni Ouattara,2023-09-30T16:31:37Z,2023-09-30T16:31:37Z,1,"Longue vie à toi mon président,si Dieu dort ,tu vas faillir,mais si c&#39;est le contraire,rien ne t&#39;arrivera et notre chère patrie sortira victorieuse.Nous te confions au seigneur qui ne dort jamais."
Ghislain Kienou,2023-09-30T16:23:49Z,2023-09-30T16:23:49Z,0,Ismaël là est bête inh
Kossi Atchade,2023-09-30T16:19:28Z,2023-09-30T16:19:28Z,1,"Merci mon président devant les journalistes. Sans la sécurité, pas d&#39;élection. Je suis d&#39;accord"
IMA SARL CABINET,2023-09-30T16:12:49Z,2023-09-30T16:12:49Z,1,C&#39;est un héros et il répond aux questions avec une maitrise de soi et une grande humilité. Tu es vraiment formidable. Que Dieu te bénisse.
